Month,Version,Operating System,Downloads
2021-02,4,,280784
2021-03,4,,302723
2021-04,4,,306078
2021-05,4,,269655
2021-06,4,,255227
2021-07,4,,300151
2021-08,4,,216021
2021-09,4,,265209
2021-10,4,,265535
2021-11,4,,160811
2021-12,4,,277007
2022-01,4,,204059
2022-02,4,,208980
2022-03,4,,170929
2022-04,4,,213562
2022-05,4,,211229
2022-06,4,,203070
2022-07,4,,194879
2022-08,4,,240194
2022-09,4,,283614
2022-10,4,,209337
2022-11,4,,216995
2022-12,4,,179167
2023-01,4,,201166
2023-02,4,,173700
2023-03,4,,141657
2023-04,4,,166529
2023-05,4,,130071
2023-06,4,,109612
2023-07,4,,134873
2023-08,4,,99670
2023-09,4,,147694
2023-10,4,,106695
2023-11,4,,89624
2023-12,4,,92675
2024-01,4,,140293
2024-02,4,,118271
2024-03,4,,103312
2024-04,4,,87007
2024-05,4,,98130
2024-06,4,,109031
2024-07,4,,106126
2024-08,4,,140109
2024-09,4,,86702
2024-10,4,,88900
2024-11,4,,1392757
2024-12,4,,2304166
2025-01,4,,377106
2025-02,4,,269079
2025-03,4,,339789
2025-04,4,,336672
2025-05,4,,171643
2025-06,4,,190851
2025-07,4,,166307
2025-08,4,,174605
2021-02,5,,58093
2021-03,5,,52338
2021-04,5,,63872
2021-05,5,,53639
2021-06,5,,41424
2021-07,5,,39617
2021-08,5,,37022
2021-09,5,,44122
2021-10,5,,39831
2021-11,5,,31553
2021-12,5,,41069
2022-01,5,,42244
2022-02,5,,33851
2022-03,5,,39151
2022-04,5,,36638
2022-05,5,,43718
2022-06,5,,36737
2022-07,5,,44862
2022-08,5,,45474
2022-09,5,,41957
2022-10,5,,46040
2022-11,5,,40367
2022-12,5,,30994
2023-01,5,,35907
2023-02,5,,31829
2023-03,5,,26727
2023-04,5,,22031
2023-05,5,,24587
2023-06,5,,20128
2023-07,5,,32065
2023-08,5,,24874
2023-09,5,,37999
2023-10,5,,34536
2023-11,5,,23795
2023-12,5,,17674
2024-01,5,,24646
2024-02,5,,33309
2024-03,5,,24796
2024-04,5,,18337
2024-05,5,,20236
2024-06,5,,20742
2024-07,5,,22858
2024-08,5,,21244
2024-09,5,,21764
2024-10,5,,25558
2024-11,5,,575783
2024-12,5,,952919
2025-01,5,,112015
2025-02,5,,93705
2025-03,5,,119366
2025-04,5,,113216
2025-05,5,,47116
2025-06,5,,49906
2025-07,5,,52421
2025-08,5,,50905
2021-02,6,,881058
2021-03,6,,1040980
2021-04,6,,889089
2021-05,6,,1008398
2021-06,6,,1002859
2021-07,6,,970333
2021-08,6,,961084
2021-09,6,,936739
2021-10,6,,898020
2021-11,6,,897709
2021-12,6,,936302
2022-01,6,,926934
2022-02,6,,888616
2022-03,6,,910753
2022-04,6,,787926
2022-05,6,,865239
2022-06,6,,768928
2022-07,6,,693639
2022-08,6,,654386
2022-09,6,,708997
2022-10,6,,754433
2022-11,6,,669662
2022-12,6,,540348
2023-01,6,,501832
2023-02,6,,432786
2023-03,6,,452321
2023-04,6,,399163
2023-05,6,,387918
2023-06,6,,336040
2023-07,6,,331128
2023-08,6,,310630
2023-09,6,,324762
2023-10,6,,338759
2023-11,6,,421495
2023-12,6,,284524
2024-01,6,,261359
2024-02,6,,263245
2024-03,6,,302913
2024-04,6,,311401
2024-05,6,,341412
2024-06,6,,324774
2024-07,6,,345845
2024-08,6,,338049
2024-09,6,,341589
2024-10,6,,390432
2024-11,6,,2163160
2024-12,6,,3369522
2025-01,6,,762084
2025-02,6,,600490
2025-03,6,,759240
2025-04,6,,797195
2025-05,6,,579891
2025-06,6,,751113
2025-07,6,,535340
2025-08,6,,446605
2021-02,7,,126570
2021-03,7,,179065
2021-04,7,,172746
2021-05,7,,141840
2021-06,7,,125952
2021-07,7,,108719
2021-08,7,,118624
2021-09,7,,130993
2021-10,7,,106199
2021-11,7,,100617
2021-12,7,,105206
2022-01,7,,112828
2022-02,7,,92917
2022-03,7,,104972
2022-04,7,,93924
2022-05,7,,159298
2022-06,7,,156050
2022-07,7,,134538
2022-08,7,,119038
2022-09,7,,116710
2022-10,7,,120109
2022-11,7,,125662
2022-12,7,,94780
2023-01,7,,85710
2023-02,7,,88951
2023-03,7,,78478
2023-04,7,,45169
2023-05,7,,40980
2023-06,7,,38961
2023-07,7,,47597
2023-08,7,,42034
2023-09,7,,49771
2023-10,7,,48899
2023-11,7,,47890
2023-12,7,,39823
2024-01,7,,47884
2024-02,7,,45518
2024-03,7,,52554
2024-04,7,,48836
2024-05,7,,40823
2024-06,7,,30687
2024-07,7,,31316
2024-08,7,,30661
2024-09,7,,34371
2024-10,7,,43124
2024-11,7,,709805
2024-12,7,,1178791
2025-01,7,,146361
2025-02,7,,123522
2025-03,7,,168938
2025-04,7,,164828
2025-05,7,,83744
2025-06,7,,84743
2025-07,7,,87079
2025-08,7,,88766
2021-02,8,,2581995
2021-03,8,,2991906
2021-04,8,,2477744
2021-05,8,,2696335
2021-06,8,,2436970
2021-07,8,,2082338
2021-08,8,,2101885
2021-09,8,,1927378
2021-10,8,,1925837
2021-11,8,,1914861
2021-12,8,,1886686
2022-01,8,,1792922
2022-02,8,,1675016
2022-03,8,,1667401
2022-04,8,,1418228
2022-05,8,,1409963
2022-06,8,,1319939
2022-07,8,,1321510
2022-08,8,,1319321
2022-09,8,,1382553
2022-10,8,,1337460
2022-11,8,,1315776
2022-12,8,,1081115
2023-01,8,,1071410
2023-02,8,,957926
2023-03,8,,1110877
2023-04,8,,953407
2023-05,8,,992190
2023-06,8,,829753
2023-07,8,,763871
2023-08,8,,789960
2023-09,8,,729821
2023-10,8,,749352
2023-11,8,,689846
2023-12,8,,598928
2024-01,8,,676225
2024-02,8,,693047
2024-03,8,,759763
2024-04,8,,694360
2024-05,8,,736563
2024-06,8,,658646
2024-07,8,,684514
2024-08,8,,650720
2024-09,8,,658146
2024-10,8,,675549
2024-11,8,,2385444
2024-12,8,,3431251
2025-01,8,,1283083
2025-02,8,,1173858
2025-03,8,,1223456
2025-04,8,,1414283
2025-05,8,,1556626
2025-06,8,,2622816
2025-07,8,,1323107
2025-08,8,,912434
2021-02,9,,213644
2021-03,9,,232998
2021-04,9,,214453
2021-05,9,,255198
2021-06,9,,204818
2021-07,9,,207616
2021-08,9,,216023
2021-09,9,,194366
2021-10,9,,206815
2021-11,9,,252909
2021-12,9,,294598
2022-01,9,,248238
2022-02,9,,226036
2022-03,9,,165396
2022-04,9,,145079
2022-05,9,,142472
2022-06,9,,125460
2022-07,9,,170190
2022-08,9,,159786
2022-09,9,,144049
2022-10,9,,136718
2022-11,9,,148109
2022-12,9,,114086
2023-01,9,,127284
2023-02,9,,113811
2023-03,9,,124255
2023-04,9,,87919
2023-05,9,,93749
2023-06,9,,86038
2023-07,9,,268106
2023-08,9,,2030182
2023-09,9,,1443434
2023-10,9,,131844
2023-11,9,,91021
2023-12,9,,84540
2024-01,9,,94004
2024-02,9,,97691
2024-03,9,,130712
2024-04,9,,82748
2024-05,9,,82048
2024-06,9,,74624
2024-07,9,,79854
2024-08,9,,76242
2024-09,9,,81938
